Date,Number,Category
23/01/2020,3.1,BIG Earthquake
17/01/2020,1,Earthquake
15/01/2020,1.9,Earthquake
11/01/2020,0.9,Earthquake
07/01/2020,2.3,Earthquake
06/01/2020,1.8,Earthquake
04/01/2020,0.9,Earthquake
04/01/2020,0.9,Earthquake
03/01/2020,1.8,Earthquake
31/12/2019,0.8,Earthquake
28/12/2019,2,Earthquake
25/12/2019,0.8,Earthquake
24/12/2019,0.9,Earthquake
23/12/2019,1.5,Earthquake
23/12/2019,0.9,Earthquake
23/12/2019,0.7,Earthquake
22/12/2019,0.8,Earthquake
20/12/2019,1.1,Earthquake
18/12/2019,1.5,Earthquake
18/12/2019,1.7,Earthquake
16/12/2019,1.6,Earthquake
15/12/2019,2.1,Earthquake
14/12/2019,1.3,Earthquake
13/12/2019,1.3,Earthquake
11/12/2019,0.9,Earthquake
08/12/2019,2.9,Earthquake
06/12/2019,1.4,Earthquake
05/12/2019,3.2,BIG Earthquake
03/01/2020,2.4,Volcano
