date,Co2 and Coal consumption (Million Tonnes),Real GDP per Capita (2013 Pounds)
1850,29.0477,
1851,32.9848,
1852,36.8733,
1853,40.7132,
1854,44.5045,
1855,48.2472,
1856,51.9413,
1857,55.5868,
1858,65,
1859,68,
1860,72,
1861,75,
1862,78,
1863,81,
1864,84,
1865,87,
1866,90,
1867,93,
1868,96,
1869,98,
1870,101,
1871,103,
1872,105,
1873,108,
1874,110,
1875,113,
1876,115,
1877,117,
1878,120,
1879,122,
1880,124,
1881,126,
1882,128,
1883,130,
1884,132,
1885,134,
1886,135,
1887,137,
1888,139,
1889,141,
1890,143,
1891,145,
1892,147,
1893,149,
1894,150,
1895,152,
1896,154,
1897,156,
1898,158,
1899,160,
1900,163,
1901,165,
1902,167,
1903,170,
1904,172,
1905,174,
1906,176,
1907,179,
1908,181,
1909,184,
1910,187,
1911,190,
1912,193,
1913,196.088,
1914,191.1096,
1915,199.136,
1916,208.3816,
1917,206.5528,
1918,190.1952,
1919,185.42,
1920,193.7512,
1921,132.4864,
1922,169.8752,
1923,182.5752,
1924,188.468,
1925,179.2224,
1926,123.2408,
1927,186.3344,
1928,174.0408,
1929,184.404,
1930,174.6504,
1931,162.052,
1932,159.1056,
1933,159.004,
1934,170.4848,
1935,175.6664,
1936,185.1152,
1937,192.1256,
1938,180.848,
1939,189.5856,
1940,198.9328,
1941,199.7456,
1942,200.5584,
1943,193.4464,
1944,190.2968,
1945,182.2704,
1946,189.2808,
1947,187.452,
1948,197.0024,
1949,198.9328,
1950,205.8416,
1951,211.1248,
1952,210.1088,
1953,211.1248,
1954,217.2208,
1955,218.6432,
1956,220.98,
1957,216.3064,
1958,205.6384,
1959,192.4304,
1960,199.858,
1961,194.879,
1962,194.269,
1963,197.114,
1964,190.205,
1965,187.564,
1966,177.505,
1967,166.43,
1968,167.148,
1969,163.746,
1970,156.885,
1971,140.931,
1972,122.883,
1973,133.371,
1974,117.887,
1975,122.213,
1976,123.604,
1977,123.977,
1978,120.477,
1979,129.379,
1980,123.46,
1981,118.386,
1982,110.998,
1983,111.475,
1984,77.309,
1985,105.386,
1986,114.234,
1987,115.894,
1988,111.499,
1989,107.581,
1990,108.257,
1991,107.514,
1992,100.58,
1993,86.756,
1994,81.767,
1995,76.942,
1996,71.39995763,
1997,63.08,
1998,63.152,
1999,55.724,
2000,59.93099843,
2001,63.85040854,
2002,58.55386268,
2003,63.02253873,
2004,60.44964659,
2005,61.85237933,
2006,67.59412795,
2007,63.02890321,
2008,58.38504536,
2009,48.71819298,
2010,51.32416273,
2011,51.50726869,
2012,64.04233103,
2013,60.20598534,
2014,48.2947684,
2015,37.45091334,
2016,17.74475885,
