category,date,Other deaths,COVID deaths
50-54,1,-12,0
55-59,1,-1,0
60-64,1,-28,0
65-69,1,-105,0
70-74,1,35,0
75-79,1,44,0
80-84,1,55,0
85-89,1,80,0
90+,1,68,0
50-54,2,-13,0
55-59,2,23,0
60-64,2,31,0
65-69,2,-65,0
70-74,2,70,0
75-79,2,105,0
80-84,2,26,0
85-89,2,47,0
90+,2,39,0
50-54,3,27,0
55-59,3,82,0
60-64,3,9,0
65-69,3,-57,0
70-74,3,15,0
75-79,3,20,0
80-84,3,-7,0
85-89,3,-119,0
90+,3,-220,0
50-54,4,8,0
55-59,4,-6,0
60-64,4,2,0
65-69,4,-42,0
70-74,4,16,0
75-79,4,-48,0
80-84,4,-188,0
85-89,4,-227,0
90+,4,-411,0
50-54,5,10,0
55-59,5,24,0
60-64,5,3,0
65-69,5,-49,0
70-74,5,94,0
75-79,5,-2,0
80-84,5,-174,0
85-89,5,-209,0
90+,5,-250,0
50-54,6,24,0
55-59,6,3,0
60-64,6,-10,0
65-69,6,-110,0
70-74,6,13,0
75-79,6,-43,0
80-84,6,-221,0
85-89,6,-163,0
90+,6,-347,0
50-54,7,17,0
55-59,7,-32,0
60-64,7,-28,0
65-69,7,-133,0
70-74,7,48,0
75-79,7,-106,0
80-84,7,-185,0
85-89,7,-137,0
90+,7,-80,0
50-54,8,-27,0
55-59,8,-13,0
60-64,8,-9,0
65-69,8,-56,0
70-74,8,-6,0
75-79,8,-36,0
80-84,8,-175,0
85-89,8,-254,0
90+,8,-173,0
50-54,9,2,0
55-59,9,0,0
60-64,9,2,0
65-69,9,-63,0
70-74,9,56,0
75-79,9,-102,0
80-84,9,-96,0
85-89,9,-67,0
90+,9,-120,0
50-54,10,0,0
55-59,10,-2,0
60-64,10,-31,0
65-69,10,-82,0
70-74,10,2,0
75-79,10,-68,0
80-84,10,-68,0
85-89,10,-180,0
90+,10,-186,0
50-54,11,10,0
55-59,11,43,0
60-64,11,-14,1
65-69,11,-62,0
70-74,11,26,1
75-79,11,32,2
80-84,11,-78,1
85-89,11,-160,0
90+,11,-18,0
50-54,12,-4,2
55-59,12,37,2
60-64,12,-16,2
65-69,12,-44,11
70-74,12,92,9
75-79,12,66,11
80-84,12,-26,20
85-89,12,-47,24
90+,12,-60,21
50-54,13,-9,9
55-59,13,37,16
60-64,13,44,30
65-69,13,-11,42
70-74,13,69,57
75-79,13,78,84
80-84,13,79,97
85-89,13,54,102
90+,13,149,86
50-54,14,76,64
55-59,14,65,137
60-64,14,103,169
65-69,14,117,224
70-74,14,306,402
75-79,14,360,549
80-84,14,497,682
85-89,14,471,617
90+,14,616,546
50-54,15,52,126
55-59,15,46,208
60-64,15,47,333
65-69,15,3,427
70-74,15,85,677
75-79,15,191,973
80-84,15,246,1237
85-89,15,517,1091
90+,15,635,992
50-54,16,-15,190
55-59,16,45,287
60-64,16,48,413
65-69,16,-14,553
70-74,16,235,889
75-79,16,331,1197
80-84,16,510,1637
85-89,16,762,1739
90+,16,1249,1674
