category,date,Other deaths,COVID deaths
Under 1,1,-3,0
1-4,1,2,0
5-9,1,-2,0
10-14,1,0,0
15-19,1,-5,0
20-24,1,-6,0
25-29,1,-6,0
30-34,1,0,0
35-39,1,1,0
40-44,1,-22,0
45-49,1,-46,0
50-54,1,-12,0
55-59,1,-1,0
60-64,1,-28,0
65-69,1,-105,0
70-74,1,35,0
75-79,1,44,0
80-84,1,55,0
85-89,1,80,0
90+,1,68,0
Under 1,2,-14,0
1-4,2,-2,0
5-9,2,2,0
10-14,2,5,0
15-19,2,0,0
20-24,2,2,0
25-29,2,7,0
30-34,2,-6,0
35-39,2,-8,0
40-44,2,-18,0
45-49,2,6,0
50-54,2,-13,0
55-59,2,23,0
60-64,2,31,0
65-69,2,-65,0
70-74,2,70,0
75-79,2,105,0
80-84,2,26,0
85-89,2,47,0
90+,2,39,0
Under 1,3,16,0
1-4,3,-2,0
5-9,3,-2,0
10-14,3,-3,0
15-19,3,-6,0
20-24,3,-3,0
25-29,3,0,0
30-34,3,-5,0
35-39,3,7,0
40-44,3,8,0
45-49,3,12,0
50-54,3,27,0
55-59,3,82,0
60-64,3,9,0
65-69,3,-57,0
70-74,3,15,0
75-79,3,20,0
80-84,3,-7,0
85-89,3,-119,0
90+,3,-220,0
Under 1,4,3,0
1-4,4,1,0
5-9,4,-1,0
10-14,4,2,0
15-19,4,0,0
20-24,4,2,0
25-29,4,-2,0
30-34,4,-15,0
35-39,4,11,0
40-44,4,6,0
45-49,4,-25,0
50-54,4,8,0
55-59,4,-6,0
60-64,4,2,0
65-69,4,-42,0
70-74,4,16,0
75-79,4,-48,0
80-84,4,-188,0
85-89,4,-227,0
90+,4,-411,0
Under 1,5,-5,0
1-4,5,-2,0
5-9,5,1,0
10-14,5,0,0
15-19,5,4,0
20-24,5,-8,0
25-29,5,-13,0
30-34,5,3,0
35-39,5,2,0
40-44,5,-1,0
45-49,5,-21,0
50-54,5,10,0
55-59,5,24,0
60-64,5,3,0
65-69,5,-49,0
70-74,5,94,0
75-79,5,-2,0
80-84,5,-174,0
85-89,5,-209,0
90+,5,-250,0
Under 1,6,-26,0
1-4,6,-2,0
5-9,6,-2,0
10-14,6,-3,0
15-19,6,-3,0
20-24,6,9,0
25-29,6,-15,0
30-34,6,-8,0
35-39,6,3,0
40-44,6,-10,0
45-49,6,-33,0
50-54,6,24,0
55-59,6,3,0
60-64,6,-10,0
65-69,6,-110,0
70-74,6,13,0
75-79,6,-43,0
80-84,6,-221,0
85-89,6,-163,0
90+,6,-347,0
Under 1,7,-10,0
1-4,7,-3,0
5-9,7,-4,0
10-14,7,0,0
15-19,7,-2,0
20-24,7,-1,0
25-29,7,-14,0
30-34,7,-13,0
35-39,7,22,0
40-44,7,-13,0
45-49,7,-5,0
50-54,7,17,0
55-59,7,-32,0
60-64,7,-28,0
65-69,7,-133,0
70-74,7,48,0
75-79,7,-106,0
80-84,7,-185,0
85-89,7,-137,0
90+,7,-80,0
Under 1,8,4,0
1-4,8,-4,0
5-9,8,1,0
10-14,8,1,0
15-19,8,5,0
20-24,8,-5,0
25-29,8,-5,0
30-34,8,10,0
35-39,8,12,0
40-44,8,18,0
45-49,8,2,0
50-54,8,-27,0
55-59,8,-13,0
60-64,8,-9,0
65-69,8,-56,0
70-74,8,-6,0
75-79,8,-36,0
80-84,8,-175,0
85-89,8,-254,0
90+,8,-173,0
Under 1,9,2,0
1-4,9,-2,0
5-9,9,1,0
10-14,9,1,0
15-19,9,8,0
20-24,9,-3,0
25-29,9,-8,0
30-34,9,3,0
35-39,9,22,0
40-44,9,11,0
45-49,9,-16,0
50-54,9,2,0
55-59,9,0,0
60-64,9,2,0
65-69,9,-63,0
70-74,9,56,0
75-79,9,-102,0
80-84,9,-96,0
85-89,9,-67,0
90+,9,-120,0
Under 1,10,8,0
1-4,10,1,0
5-9,10,-3,0
10-14,10,1,0
15-19,10,3,0
20-24,10,-5,0
25-29,10,9,0
30-34,10,6,0
35-39,10,7,0
40-44,10,-3,0
45-49,10,-19,0
50-54,10,0,0
55-59,10,-2,0
60-64,10,-31,0
65-69,10,-82,0
70-74,10,2,0
75-79,10,-68,0
80-84,10,-68,0
85-89,10,-180,0
90+,10,-186,0
Under 1,11,2,0
1-4,11,5,0
5-9,11,0,0
10-14,11,-1,0
15-19,11,2,0
20-24,11,10,0
25-29,11,-5,0
30-34,11,8,0
35-39,11,11,0
40-44,11,-9,0
45-49,11,5,0
50-54,11,10,0
55-59,11,43,0
60-64,11,-14,1
65-69,11,-62,0
70-74,11,26,1
75-79,11,32,2
80-84,11,-78,1
85-89,11,-160,0
90+,11,-18,0
Under 1,12,-6,0
1-4,12,-6,0
5-9,12,1,0
10-14,12,-1,0
15-19,12,-2,0
20-24,12,-6,0
25-29,12,-2,0
30-34,12,-3,0
35-39,12,5,0
40-44,12,5,1
45-49,12,-12,0
50-54,12,-4,2
55-59,12,37,2
60-64,12,-16,2
65-69,12,-44,11
70-74,12,92,9
75-79,12,66,11
80-84,12,-26,20
85-89,12,-47,24
90+,12,-60,21
Under 1,13,0,0
1-4,13,-2,0
5-9,13,-3,0
10-14,13,-1,0
15-19,13,-4,0
20-24,13,-8,0
25-29,13,2,1
30-34,13,1,4
35-39,13,0,3
40-44,13,2,0
45-49,13,-6,8
50-54,13,-9,9
55-59,13,37,16
60-64,13,44,30
65-69,13,-11,42
70-74,13,69,57
75-79,13,78,84
80-84,13,79,97
85-89,13,54,102
90+,13,149,86
Under 1,14,3,0
1-4,14,1,0
5-9,14,1,0
10-14,14,1,0
15-19,14,-9,3
20-24,14,-6,3
25-29,14,-7,5
30-34,14,4,9
35-39,14,-7,12
40-44,14,-2,11
45-49,14,14,42
50-54,14,76,64
55-59,14,65,137
60-64,14,103,169
65-69,14,117,224
70-74,14,306,402
75-79,14,360,549
80-84,14,497,682
85-89,14,471,617
90+,14,616,546
Under 1,15,-9,0
1-4,15,-1,0
5-9,15,-2,0
10-14,15,-3,0
15-19,15,-9,3
20-24,15,-13,5
25-29,15,-6,8
30-34,15,-5,7
35-39,15,21,19
40-44,15,-17,32
45-49,15,4,75
50-54,15,52,126
55-59,15,46,208
60-64,15,47,333
65-69,15,3,427
70-74,15,85,677
75-79,15,191,973
80-84,15,246,1237
85-89,15,517,1091
90+,15,635,992
